NAME_GENERALISED,LAT,LON,COUNT
Building_337,41.878004,-70.86926700000001,1
Building_338,42.1718584,-72.5849672,1
Building_339,42.0951927,-72.5094159,1
Building_340,42.053072,-71.752241,1
Building_341,42.053778,-71.935075,1
Building_342,42.055134,-71.06661,1
Building_343,42.060999,-72.5146744,1
Building_344,41.9591,-70.80275300000001,1
Building_345,42.065655,-71.05398,1
Building_346,41.924313,-70.656654,1
Building_347,42.0892313,-71.04551,1
Building_348,42.097282,-72.05503399999998,1
Building_349,41.888191,-70.59996600000002,1
Building_350,42.110065,-72.60007,1
Building_351,41.9051941,-71.0609995,1
Building_352,41.9048719,-71.106073,1
Building_353,42.128176,-72.205352,1
Building_354,41.903323,-71.094984,1
Building_355,42.139397,-72.62382,1
Building_356,42.144202,-70.844005,1
Building_357,42.1463818,-72.5335973,1
Building_358,41.760932,-70.070392,1
Building_359,42.2894365,-71.0719941,1
Building_360,42.2925591,-71.7603169,1
Building_361,41.693632,-70.105298,1
Building_362,42.397559,-72.943392,1
Building_363,42.405414,-72.726043,1
Building_364,42.4259086,-71.1113649,1
Building_365,41.6983957,-71.1480617,1
Building_366,42.430995,-72.642437,1
Building_367,41.696512,-70.070113,1
Building_368,42.451427,-73.25195,1
Building_369,41.6956586,-71.1530617,1
Building_370,42.454125,-71.87754,1
Building_371,41.708597,-70.031856,1
Building_372,42.455723,-71.05901899999998,1
Building_373,42.466691,-72.546751,1
Building_374,41.672608,-71.1635601,1
Building_375,42.468898,-72.48457900000001,1
Building_376,42.470093,-70.95994,1
Building_377,41.666904,-70.135645,1
Building_378,42.47636,-70.9125322,1
Building_379,42.479819,-73.15377600000001,1
Building_380,42.3961274,-71.0392206,1
Building_381,42.388285,-71.969865,1
Building_382,42.297756,-71.766815,1
Building_383,42.3505548,-71.0766054,1
Building_384,42.3023113,-71.7661395,1
Building_385,42.312354,-73.388044,1
Building_386,42.314078,-72.777977,1
Building_387,41.740785,-70.5980121,1
Building_388,42.32809,-71.11076,1
Building_389,42.3323152,-72.6545646,1
Building_390,42.34461,-71.03728,1
Building_391,42.345066,-72.68291,1
Building_392,41.7258413,-71.1590845,1
Building_393,42.384929,-71.633889,1
Building_394,42.3634497,-71.0256963,1
Building_395,41.722586,-70.0372004,1
Building_396,42.3665,-71.05931,1
Building_397,42.3700513,-71.2490152,1
Building_398,42.371648,-72.412488,1
Building_399,42.3719882,-71.0386237,1
Building_400,42.3760766,-71.242893,1
Building_401,42.383497,-73.359187,1
Building_402,42.355049,-71.716157,1
